name,ticker,sector,description,market_cap_bn,employees,headquarters,founded_year,source_url,last_updated
Avenue Supermarts (DMart),DMART,retail,"India's leading value supermarket chain operating on an everyday low price (EDLP) owner-operator real estate model.",310.0,13150,Mumbai Maharashtra India,2002,https://www.dmartindia.com/investor-relations,2024-09-01
Trent Limited,TRENT,retail,"Tata Group's high-growth retail powerhouse. Operates Zudio (value fashion), Westside, and Star Bazaar.",255.0,22000,Mumbai Maharashtra India,1998,https://www.trentlimited.com/investors,2024-09-01
Titan Company,TITAN,retail,"Tata Group luxury and lifestyle leader. Dominates branded jewellery (Tanishq, CaratLane), watches, and eyewear.",305.0,8500,Bengaluru Karnataka India,1984,https://www.titancompany.in/investors,2024-09-01
Reliance Retail Ventures,RELIANCE,retail,"India's largest retail conglomerate by revenue and reach. Spans grocery (Smart Bazaar), consumer electronics, and fashion.",820.0,365000,Mumbai Maharashtra India,2006,https://www.relianceretail.com,2024-09-01
Aditya Birla Fashion and Retail,ABFRL,retail,"Leading apparel platform operating Madura Lifestyle brands (Louis Philippe, Van Heusen, Peter England) and Pantaloons.",31.0,28500,Mumbai Maharashtra India,1997,https://www.abfrl.com/investors,2024-09-01
Shoppers Stop,SHOPERSTOP,retail,"Pioneer department store chain in India. Retails premium apparel, beauty, home, and luxury fragrances.",8.5,7200,Mumbai Maharashtra India,1991,https://corporate.shoppersstop.com/investors,2024-09-01
V-Mart Retail,VMART,retail,"Omnichannel value retailer delivering affordable fashion and FMCG across tier-2, tier-3, and tier-4 Indian towns.",5.8,11000,Gurugram Haryana India,2002,https://www.vmart.co.in/investor,2024-09-01
Metro Brands,METROBRAND,retail,"One of India's largest specialty footwear and accessories retailers. Sells Metro, Mochi, Walkway, and operates Crocs and Fila.",36.0,4800,Mumbai Maharashtra India,1955,https://metrobrands.com/investors,2024-09-01
Vedant Fashions (Manyavar),MANYAVAR,retail,"India's market leader in men's Indian wedding and celebration wear. Operates Manyavar, Mohey, and Twamev via asset-light franchises.",26.5,2100,Kolkata West Bengal India,2002,https://www.vedantfashions.com/investor-relations,2024-09-01
FSN E-Commerce Ventures (Nykaa),NYKAA,retail,"Digitally native beauty, personal care, and fashion omnichannel platform with extensive physical destination stores.",58.0,3500,Mumbai Maharashtra India,2012,https://www.nykaa.com/investor-relations,2024-09-01
Devyani International,DEVYANI,retail,"Largest franchisee for Yum! Brands in India, operating KFC, Pizza Hut, and Costa Coffee restaurant chains.",20.5,18500,Gurugram Haryana India,1991,https://www.dil-rjcorp.com/investor-relations,2024-09-01
Spencer's Retail,SPENCERS,retail,"RP-Sanjiv Goenka Group multi-format retailer operating food, grocery, and household supermarkets in urban clusters.",0.85,4200,Kolkata West Bengal India,1863,https://www.spencersretail.com/investors,2024-09-01
