ticker,signal_type,headline,summary,date,source_url
LT,expansion,"L&T consolidated order book crosses historic ₹4.75 Lakh Crore milestone","Fueled by domestic infrastructure, renewable power grids, and GCC energy EPC contracts","2024-04-18",https://investors.larsentoubro.com/press
TATAMOTORS,expansion,"Tata Motors board approves demerger into two independent listed companies","Separating Commercial Vehicles and Passenger Vehicles (EV + JLR) to unlock value","2024-03-04",https://www.tatamotors.com/press-releases
TATAMOTORS,expansion,"Tata Motors subsidiary JLR achieves highest annual operating cash flow of £3.5B","Strong global Defender and Range Rover volume driving net debt reduction","2024-05-15",https://www.tatamotors.com/news
M&M,expansion,"Mahindra SUV production capacity ramped up to 49,000 units per month","Scorpio-N and XUV700 order backlog remains resilient across domestic network","2024-02-12",https://www.mahindra.com/news
BEL,expansion,"Bharat Electronics wins ₹4,522 Cr radar and missile electronics contract","Major Indian Air Force and Army communication system supply mandate","2024-03-24",https://bel-india.in/news
HAL,expansion,"HAL receives ₹65,000 Cr tender from MoD for 97 additional Tejas fighter jets","Solidifies defense aerospace order visibility through FY2032","2024-04-12",https://hal-india.co.in/press
CUMMINSIND,expansion,"Cummins India data center power solutions business grows 45% YoY","Rising AI server farm buildouts driving high-horsepower diesel and gas generator demand","2024-02-28",https://www.cummins.com/en/in/news
SIEMENS,expansion,"Siemens India demerging energy business into separate listed entity","Aligning with global Siemens AG strategy to accelerate smart infrastructure and mobility","2024-05-14",https://www.siemens.com/in/press
ABB,expansion,"ABB India inaugurates expanded robotics and machine automation manufacturing facility","Supporting automotive EV battery assembly lines and FMCG packaging automation in Nashik","2024-01-22",https://new.abb.com/news
DIXON,expansion,"Dixon Technologies to manufacture 25 million smartphones following Ismartu deal","Significantly expanding domestic electronics manufacturing scale under PLI scheme","2024-04-08",https://dixoninfo.com/press
BHARATFORG,expansion,"Bharat Forge defense subsidiary begins deliveries of ATAGS 155mm artillery systems","Export shipments to Armenia and Middle East driving non-auto revenue expansion","2024-03-15",https://www.bharatforge.com/news
THERMAX,expansion,"Thermax bags ₹500 Cr industrial green steam and zero-liquid-discharge mandate","Petrochemicals and specialty chemical capex accelerating adoption of clean utility systems","2024-02-05",https://www.thermaxglobal.com/news
