ticker,signal_type,headline,summary,date,source_url
TCS,hiring,"TCS to hire 40,000 fresh engineering graduates in FY25","TCS confirms full campus hiring plan despite global tech spending slowdown","2024-04-12",https://www.bseindia.com/tcs-hiring
TCS,expansion,"TCS signs $1B+ digital transformation deal with UK insurer","Expansion in core European BFSI modernization pipeline","2024-02-18",https://www.nseindia.com/tcs-deals
INFY,expansion,"Infosys launches Topaz GenAI suite with over 100 enterprise offerings","Expanding AI-driven engineering and consulting engagements across Fortune 500 clients","2024-03-20",https://www.infosys.com/newsroom
INFY,hiring,"Infosys resumes off-campus tech recruitment targeting 20,000 engineers","Campus hiring roadmap calibrated to cloud and AI pipeline growth","2024-05-10",https://www.bseindia.com/infy-recruitment
HCLTECH,expansion,"HCLTech establishes global semiconductor engineering delivery center in Bengaluru","Investing ₹1,000 Cr to expand custom ASIC and chip design capabilities","2024-01-25",https://www.hcltech.com/press
WIPRO,expansion,"Wipro partners with Microsoft to scale AI-powered enterprise cognitive assistants","Strategic co-innovation labs opened across Bengaluru and London","2024-03-05",https://www.wipro.com/news
TECHM,contraction,"Tech Mahindra trims middle management layers in profitability turnaround drive","Project Fortius launched to lift EBITDA margins to 15% by FY27","2024-04-28",https://www.bseindia.com/techm-turnaround
LTIM,expansion,"LTIMindtree bags $100M multi-year digital transformation mandate in Middle East","Energy and utilities vertical showing resilient growth momentum","2024-06-14",https://www.ltimindtree.com/news
PERSISTENT,hiring,"Persistent Systems adds 1,500 engineers for healthcare digital solutions","GenAI engineering backlog expands 40% year-on-year","2024-02-10",https://www.persistent.com/news
COFORGE,acquisition,"Coforge acquires 54% stake in Cigniti Technologies for ₹5,300 Cr","Transformational buyout to build world-leading AI-powered testing capability","2024-05-02",https://www.nseindia.com/coforge-cigniti
KPITTECH,expansion,"KPIT wins multi-year $250M software-defined vehicle engagement from European OEM","Automotive embedded architecture pipeline hits all-time high","2024-03-28",https://www.kpit.com/media
TATAELXSI,expansion,"Tata Elxsi inaugurates 5G and Connected Car R&D center in Pune","Strengthening software stack for autonomous driving and EV telematics","2024-01-18",https://www.tataelxsi.com/news
