name,ticker,sector,description,market_cap_bn,employees,headquarters,founded_year,source_url,last_updated
Larsen & Toubro,LT,manufacturing,"India's premier technology, engineering, construction, manufacturing, and financial services conglomerate.",490.0,54000,Mumbai Maharashtra India,1938,https://investors.larsentoubro.com,2024-09-01
Tata Motors,TATAMOTORS,manufacturing,"Global automotive manufacturer producing commercial vehicles, passenger cars, electric vehicles, and Jaguar Land Rover luxury vehicles.",360.0,91300,Mumbai Maharashtra India,1945,https://www.tatamotors.com/investors,2024-09-01
Mahindra & Mahindra,M&M,manufacturing,"Diversified mobility giant leading India's utility vehicle (SUV) segment and the world's largest tractor manufacturer by volume.",340.0,42800,Mumbai Maharashtra India,1945,https://www.mahindra.com/investor-relations,2024-09-01
Bharat Electronics Limited,BEL,manufacturing,"Navratna defense PSU manufacturing advanced electronic equipment, radars, sonars, electronic warfare systems, and avionics.",220.0,8900,Bengaluru Karnataka India,1954,https://bel-india.in/investors,2024-09-01
Hindustan Aeronautics Limited,HAL,manufacturing,"Premier defense aerospace contractor designing and building fighter jets (LCA Tejas), attack helicopters (LCH Prachand), and aero-engines.",310.0,26800,Bengaluru Karnataka India,1940,https://hal-india.co.in/investors,2024-09-01
Cummins India,CUMMINSIND,manufacturing,"Leading manufacturer of diesel and natural gas engines for power generation, industrial equipment, construction, and mining.",105.0,3200,Pune Maharashtra India,1962,https://www.cummins.com/en/in/investors,2024-09-01
Siemens Limited,SIEMENS,manufacturing,"Technology company focused on industry automation, smart infrastructure, energy systems, and high-speed rail mobility in India.",250.0,8600,Mumbai Maharashtra India,1957,https://www.siemens.com/in/en/company/investor-relations.html,2024-09-01
ABB India,ABB,manufacturing,"Electrification and automation technology provider delivering robotics, drives, power grids, and discrete industrial automation.",170.0,3400,Bengaluru Karnataka India,1949,https://new.abb.com/indian-subcontinent/investors,2024-09-01
Bharat Forge,BHARATFORG,manufacturing,"Global forging and precision machining company supplying critical automotive, defense (artillery guns), and aerospace components.",70.0,4800,Pune Maharashtra India,1961,https://www.bharatforge.com/investors,2024-09-01
Thermax Limited,THERMAX,manufacturing,"Energy and environment solutions provider specializing in industrial boilers, green steam, wastewater treatment, and air pollution control.",60.0,4100,Pune Maharashtra India,1966,https://www.thermaxglobal.com/investor-relations,2024-09-01
Dixon Technologies,DIXON,manufacturing,"India's largest electronic manufacturing services (EMS) provider producing smartphones, laptops, LED TVs, and home appliances.",75.0,3200,Noida Uttar Pradesh India,1993,https://dixoninfo.com/investors,2024-09-01
AIA Engineering,AIAENG,manufacturing,"Specialized engineering manufacturer of high-chrome mill internal wear parts used for grinding in cement, mining, and thermal power.",42.0,1400,Ahmedabad Gujarat India,1978,https://www.aiaengineering.com/investors,2024-09-01
