name,ticker,sector,description,market_cap_bn,employees,headquarters,founded_year,source_url,last_updated
Tata Consultancy Services,TCS,tech,"India's largest IT services exporter. Global enterprise digital transformation, cloud, AI, and BFSI consulting.",1520.0,601546,Mumbai Maharashtra India,1968,https://www.tcs.com/investor-relations,2024-09-01
Infosys Limited,INFY,tech,"Next-generation digital services and consulting. Cloud-first platforms (Cobalt), enterprise AI (Topaz), and core banking (Finacle).",785.0,317240,Bengaluru Karnataka India,1981,https://www.infosys.com/investors,2024-09-01
HCL Technologies,HCLTECH,tech,"Global technology company offering digital, engineering, and cloud services alongside HCLSoftware IP products.",480.0,227481,Noida Uttar Pradesh India,1976,https://www.hcltech.com/investors,2024-09-01
Wipro Limited,WIPRO,tech,"Technology services and consulting focused on cognitive computing, hyper-automation, robotics, cloud, and analytics.",290.0,234054,Bengaluru Karnataka India,1945,https://www.wipro.com/investors,2024-09-01
Tech Mahindra,TECHM,tech,"Digital transformation, consulting, and business re-engineering services with historical leadership in telecom networks.",165.0,145455,Pune Maharashtra India,1986,https://www.techmahindra.com/investors,2024-09-01
LTIMindtree,LTIM,tech,"Merged entity of L&T Infotech and Mindtree. Enterprise applications, cloud transformation, and data engineering.",180.0,81650,Mumbai Maharashtra India,1996,https://www.ltimindtree.com/investors,2024-09-01
Persistent Systems,PERSISTENT,tech,"Digital engineering, enterprise modernization, and software product engineering specialist for healthcare and tech.",85.0,23850,Pune Maharashtra India,1990,https://www.persistent.com/investors,2024-09-01
Coforge Limited,COFORGE,tech,"Digital services and IT solutions provider with deep domain depth in travel, transportation, insurance, and banking.",52.0,24724,Noida Uttar Pradesh India,1992,https://www.coforge.com/investors,2024-09-01
Mphasis Limited,MPHASIS,tech,"Applied technology services and solutions company specializing in cloud, cognitive services, and direct BFSI channels.",56.0,32000,Bengaluru Karnataka India,1992,https://www.mphasis.com/investors,2024-09-01
Tata Elxsi,TATAELXSI,tech,"Design and technology services company for automotive (SDV, ADAS), media, communications, and healthcare devices.",46.0,13200,Bengaluru Karnataka India,1989,https://www.tataelxsi.com/investors,2024-09-01
KPIT Technologies,KPITTECH,tech,"Pure-play software integration partner for the global automotive and mobility ecosystem (autonomous, electric powertrains).",49.0,13000,Pune Maharashtra India,1990,https://www.kpit.com/investors,2024-09-01
Zensar Technologies,ZENSARTECH,tech,"Digital solutions and technology services provider focused on experience engineering, cloud strategies, and enterprise apps.",18.5,10500,Pune Maharashtra India,1991,https://www.zensar.com/investor,2024-09-01
