ticker,fiscal_year,revenue_bn,ebitda_bn,net_income_bn,ebitda_margin,gross_margin,pe_ratio,ev_ebitda,debt_equity,roe,revenue_growth,free_cash_flow_bn
DMART,2024,50.79,4.16,2.54,8.2,14.8,120.0,72.0,0.04,15.2,18.5,1.25
DMART,2023,42.88,3.64,2.38,8.5,15.1,130.0,78.0,0.05,16.5,38.3,0.95
TRENT,2024,12.38,1.94,1.48,15.6,45.2,170.0,125.0,0.25,34.5,50.2,0.92
TRENT,2023,8.24,1.12,0.40,13.6,42.0,180.0,140.0,0.30,14.8,82.8,0.45
TITAN,2024,51.08,4.90,3.49,9.6,24.5,88.0,60.0,0.95,31.0,26.0,2.10
TITAN,2023,40.57,4.88,3.27,12.0,25.8,92.0,62.5,0.85,30.8,40.9,1.85
RELIANCE,2024,273.10,23.08,11.12,8.4,18.5,72.0,35.0,0.45,14.0,17.8,8.50
RELIANCE,2023,231.80,17.92,9.18,7.7,17.9,78.0,40.0,0.50,13.2,30.0,6.20
ABFRL,2024,13.99,1.70,-0.74,12.1,53.5,-1.0,22.0,1.45,-18.0,12.7,-0.45
ABFRL,2023,12.42,1.62,-0.06,13.0,54.8,-1.0,21.5,0.75,-1.8,52.8,-0.20
SHOPERSTOP,2024,4.31,0.72,-0.05,16.7,41.2,-1.0,12.5,3.20,-2.5,7.8,0.25
SHOPERSTOP,2023,4.00,0.67,0.12,16.7,41.5,70.0,13.0,3.10,6.2,60.2,0.30
VMART,2024,2.78,0.28,-0.10,10.1,34.8,-1.0,19.5,1.85,-11.0,12.6,0.12
VMART,2023,2.47,0.27,-0.01,10.9,35.2,-1.0,20.0,1.70,-1.2,48.0,0.08
METROBRAND,2024,2.41,0.74,0.41,30.7,58.0,85.0,48.0,0.42,23.5,13.2,0.35
METROBRAND,2023,2.13,0.68,0.36,31.9,58.5,88.0,50.0,0.38,24.8,58.5,0.32
MANYAVAR,2024,1.41,0.69,0.41,48.9,67.2,65.0,38.0,0.22,29.5,4.4,0.38
MANYAVAR,2023,1.35,0.67,0.43,49.6,67.5,62.0,37.0,0.20,33.0,30.2,0.35
NYKAA,2024,6.38,0.36,0.04,5.6,43.0,1400.0,150.0,0.45,3.5,24.1,0.15
NYKAA,2023,5.14,0.26,0.02,5.1,44.2,1600.0,180.0,0.50,1.8,36.3,-0.05
DEVYANI,2024,3.56,0.66,-0.01,18.5,70.5,-1.0,31.0,1.65,-0.5,18.7,0.28
DEVYANI,2023,3.00,0.66,0.26,22.0,70.8,78.0,30.0,1.40,24.0,44.2,0.32
SPENCERS,2024,2.19,-0.02,-0.24,-0.9,20.5,-1.0,18.0,6.50,-45.0,-8.0,-0.18
SPENCERS,2023,2.38,0.04,-0.21,1.7,21.0,-1.0,22.0,4.80,-38.0,-4.5,-0.12
