ticker,fiscal_year,revenue_bn,ebitda_bn,net_income_bn,ebitda_margin,gross_margin,pe_ratio,ev_ebitda,debt_equity,roe,revenue_growth,free_cash_flow_bn
TCS,2024,240.89,64.55,46.10,26.8,42.5,32.5,22.0,0.08,51.5,6.8,44.20
TCS,2023,225.46,59.26,42.30,26.3,42.1,30.0,20.5,0.07,46.9,17.6,41.50
INFY,2024,153.67,36.88,26.25,24.0,38.2,29.5,19.8,0.10,32.0,4.7,24.80
INFY,2023,146.77,35.13,24.11,23.9,38.0,27.5,18.5,0.11,31.8,20.6,22.10
HCLTECH,2024,109.91,24.18,15.70,22.0,37.5,27.0,18.0,0.12,23.5,8.3,16.20
HCLTECH,2023,101.46,22.63,14.85,22.3,37.8,24.5,16.5,0.13,23.1,18.5,14.90
WIPRO,2024,89.76,17.50,11.04,19.5,34.0,24.5,15.0,0.25,15.5,-3.8,13.10
WIPRO,2023,90.49,17.31,11.35,19.1,33.8,22.0,14.2,0.24,15.8,11.2,11.50
TECHM,2024,51.99,6.20,2.36,11.9,28.5,55.0,24.0,0.15,8.8,-5.0,4.50
TECHM,2023,53.29,8.03,4.83,15.1,31.2,32.0,18.5,0.14,17.2,19.4,4.20
LTIM,2024,35.52,6.22,4.58,17.5,34.5,35.0,24.5,0.08,25.5,7.0,4.10
LTIM,2023,33.18,6.10,4.41,18.4,35.0,33.0,23.0,0.09,28.7,27.1,3.80
PERSISTENT,2024,9.82,1.70,1.10,17.3,35.5,58.0,36.0,0.11,26.0,17.6,1.05
PERSISTENT,2023,8.35,1.52,0.92,18.2,36.0,46.0,29.5,0.12,25.4,46.2,0.85
COFORGE,2024,9.18,1.50,0.81,16.3,33.0,48.0,30.0,0.35,24.0,14.5,0.82
COFORGE,2023,8.01,1.43,0.74,17.8,34.2,42.0,26.5,0.30,26.5,22.4,0.75
MPHASIS,2024,13.28,2.39,1.55,18.0,32.5,34.0,21.5,0.15,19.5,-3.7,1.45
MPHASIS,2023,13.80,2.58,1.64,18.7,33.0,30.0,19.0,0.16,21.8,15.4,1.38
TATAELXSI,2024,3.55,1.05,0.79,29.6,48.0,58.0,41.0,0.05,34.0,13.0,0.72
TATAELXSI,2023,3.14,1.00,0.76,31.8,49.5,55.0,38.5,0.04,37.5,27.4,0.65
KPITTECH,2024,4.87,1.00,0.59,20.5,38.5,72.0,43.0,0.18,31.0,44.8,0.52
KPITTECH,2023,3.36,0.65,0.39,19.3,37.0,60.0,36.0,0.20,26.5,38.1,0.35
ZENSARTECH,2024,4.91,0.88,0.66,18.0,33.5,28.0,17.5,0.02,18.5,1.2,0.62
ZENSARTECH,2023,4.85,0.56,0.33,11.5,29.0,35.0,21.0,0.03,11.5,14.1,0.48
