ticker,signal_type,headline,summary,date,source_url
DMART,expansion,"Avenue Supermarts adds 41 new DMart stores in FY24","Total store footprint reaches 365 locations with aggressive northern India land purchases","2024-04-15",https://www.bseindia.com/dmart-expansion
TRENT,expansion,"Trent's value format Zudio opens 200 stores in a single fiscal year","Zudio footprint crosses 540 outlets with average weekly inventory churn under 15 days","2024-05-02",https://www.nseindia.com/trent-zudio
TRENT,expansion,"Trent enters international market with first Zudio outlet in Dubai","Evaluating Gulf GCC consumer market for affordable fast-fashion format","2024-06-20",https://www.trentlimited.com/news
TITAN,acquisition,"Titan completes buyout of remaining 27% stake in CaratLane for ₹4,621 Cr","Omnichannel digital jewelry platform integrated into Titan lifestyle portfolio","2024-02-27",https://www.titancompany.in/press
RELIANCE,expansion,"Reliance Retail expands fast-fashion brand Yousta to 100 stores","Direct competitive offering targeting Gen-Z value apparel space against Zudio","2024-03-18",https://www.relianceretail.com/news
ABFRL,contraction,"Aditya Birla Fashion board approves demerger of Madura Fashion and Pantaloons","Creates two distinct listed entities to optimize capital allocation and reduce debt","2024-04-19",https://www.abfrl.com/announcements
NYKAA,expansion,"Nykaa beauty segment annual GMV breaches ₹10,000 Cr mark","Physical store footprint expands to 187 prestige beauty destination locations","2024-05-22",https://www.nykaa.com/press
METROBRAND,expansion,"Metro Brands signs exclusive long-term retail partnership with Foot Locker in India","Opening multi-brand sneaker and youth athletic apparel stores across top metros","2024-01-10",https://metrobrands.com/press
MANYAVAR,expansion,"Vedant Fashions expands Mohey women's bridal wear store presence","Opening flagship celebration wear experiential destinations in tier-1 capital cities","2024-02-14",https://www.vedantfashions.com/news
DEVYANI,expansion,"Devyani International crosses 600 KFC restaurant milestone across India and Nepal","QSR network benefits from highway corridor and transit retail expansion","2024-03-30",https://www.dil-rjcorp.com/news
SPENCERS,contraction,"Spencer's Retail closes 15 non-performing hypermarkets to arrest cash burn","Shifting focus toward high-margin private label food products in NCR and Kolkata","2024-01-28",https://www.spencersretail.com/press
SHOPERSTOP,expansion,"Shoppers Stop launches SS Beauty luxury beauty flagship concept stores","Partnering with global brands including NARS, MAC, and Clinique","2024-04-05",https://corporate.shoppersstop.com/news
