ticker,fiscal_year,revenue_bn,ebitda_bn,net_income_bn,ebitda_margin,gross_margin,pe_ratio,ev_ebitda,debt_equity,roe,revenue_growth,free_cash_flow_bn
LT,2024,221.11,23.49,13.06,10.6,22.5,37.5,23.0,1.20,15.8,20.6,8.50
LT,2023,183.34,20.75,10.47,11.3,23.0,35.0,21.5,1.35,14.2,17.1,6.80
TATAMOTORS,2024,437.93,62.80,31.39,14.3,37.0,11.5,5.2,1.10,34.0,26.6,26.90
TATAMOTORS,2023,345.97,37.01,2.41,10.7,34.5,45.0,7.5,2.10,5.6,24.2,12.50
M&M,2024,139.07,18.22,11.26,13.1,30.5,30.0,17.5,1.30,18.5,15.2,7.40
M&M,2023,121.26,15.79,10.28,13.0,29.8,26.0,15.0,1.40,19.2,34.4,6.10
BEL,2024,20.26,4.96,4.02,24.5,44.5,54.0,38.0,0.01,26.5,14.3,3.25
BEL,2023,17.73,3.90,3.00,22.0,43.0,45.0,32.0,0.01,23.1,15.4,2.45
HAL,2024,30.38,9.90,7.62,32.6,58.0,40.0,26.0,0.00,29.0,12.8,6.80
HAL,2023,26.92,6.66,5.82,24.7,52.5,32.0,21.0,0.00,27.2,9.3,5.20
CUMMINSIND,2024,8.86,1.70,1.65,19.2,35.5,63.0,42.0,0.05,27.0,15.5,1.10
CUMMINSIND,2023,7.67,1.21,1.13,15.8,32.0,52.0,35.0,0.06,21.5,26.5,0.85
SIEMENS,2024,19.64,2.65,2.20,13.5,32.0,110.0,72.0,0.00,17.5,10.2,1.85
SIEMENS,2023,17.82,2.35,1.96,13.2,31.5,95.0,65.0,0.00,16.8,20.5,1.60
ABB,2024,10.44,1.50,1.24,14.4,36.0,135.0,90.0,0.01,22.0,22.8,1.05
ABB,2023,8.56,1.10,0.92,12.8,35.0,115.0,75.0,0.01,19.5,23.5,0.80
BHARATFORG,2024,15.68,2.65,0.95,16.9,46.5,72.0,26.0,0.90,13.5,21.3,0.72
BHARATFORG,2023,12.91,2.02,0.51,15.6,45.0,65.0,23.5,0.85,8.2,23.5,0.45
THERMAX,2024,9.32,0.78,0.65,8.4,41.0,92.0,52.0,0.15,14.5,15.1,0.55
THERMAX,2023,8.10,0.62,0.45,7.6,39.5,80.0,45.0,0.12,11.2,32.1,0.38
DIXON,2024,17.69,0.71,0.37,4.0,10.2,200.0,85.0,0.35,23.5,45.2,0.32
DIXON,2023,12.19,0.52,0.25,4.3,10.5,140.0,60.0,0.40,21.0,14.0,0.20
AIAENG,2024,4.78,1.25,1.15,26.1,62.0,36.0,25.0,0.02,20.5,-3.8,0.98
AIAENG,2023,4.97,1.18,1.05,23.7,59.5,34.0,23.5,0.03,21.8,39.5,0.85
